Date,AFL,AJG,AON,BLK,CB,GS,JPM,MCO,MTB,PGR,RJF,SCHW,SPGI,STT,TFC,TROW,TRV,USB,WFC,WRB
2000-03-31 00:00:00+00:00,-0.0725382994435297,0.1653747795398292,0.0942570097321464,-0.1043767529044303,-0.0446822171427379,0.159146389069982,-0.0583488695149125,0.0679015965397691,-0.131276175513201,-0.1121739383050829,-0.0622625591317295,-0.0133334728983988,0.0388890490243996,-0.0274334476195062,-0.2103248630685319,-0.0103853460036872,0.0750412033992529,-0.1853230942072833,-0.165333220299469,-0.0520678579245723
2000-06-30 00:00:00+00:00,0.052298882039113,0.0374235006235508,-0.1844344975097478,0.2406015880901186,0.3873434388292183,0.1962609082709159,0.2764786125975826,-0.0231210841591024,0.1500877506217719,0.1083614891329045,0.1639252928371608,0.5393836100260399,-0.2263237315010838,0.5240250003374498,0.1446145828945855,0.0982715081654488,0.0396601166430392,0.199924478555755,0.1227215980024969,0.1415833019081713
2000-09-30 00:00:00+00:00,0.0004129071683014,0.2899893851852715,0.0044783047547125,0.4181819551630858,0.2505497945866066,-0.0989650330597686,-0.2192694141318086,0.0295854879754247,-0.0315960620810603,-0.031211871898475,0.117012823095761,-0.1451714373443416,0.2168517332457642,-0.0078463370747775,-0.128100231382841,0.1497981736696252,0.0262845775020517,-0.1160270509803579,-0.0636907802113507,-0.1797787109642707
2000-12-31 00:00:00+00:00,0.3961584649739476,0.3880793381371161,0.2721474143571183,0.1282050192325325,0.3975529880893711,0.216721948879683,-0.00131377411746,0.2528735953008274,0.1495895365695025,0.1330705230912388,0.3824523078717747,0.0793080107344064,0.1985214405956659,0.2555788803347851,0.2120613432885179,0.0724268045788734,0.4537894354351832,0.05720749499983,0.1628933624058359,0.8412291474554161
2001-03-31 00:00:00+00:00,0.0652824793293649,0.086664688842333,-0.1512080311023519,0.2121210837012734,0.0609811736600158,-0.1300288939743138,-0.0672996466598347,-0.0304031848146349,0.2624046461167177,0.1626054349011074,0.1345918218321273,-0.2551256494653776,-0.1239802907743468,-0.0809773661955094,0.1941278959386634,-0.1428500372166121,0.0312853226749745,0.029186741232789,0.1520521223280346,0.3589212594880677
2001-06-30 00:00:00+00:00,-0.1937462831526766,-0.1214585083447021,0.0610485534869302,-0.1125000825499504,-0.1270766694381748,-0.159581860870883,0.0210620676662589,0.0337095236235216,0.076609121104811,-0.0112874426193955,-0.2131009051239504,-0.4242134219396032,0.0433015772588862,-0.2382909872359565,-0.0142591566598588,-0.2324264336177761,-0.1290617054966946,0.0224184160320501,-0.0744690194411495,-0.0308021051878402
2001-09-30 00:00:00+00:00,0.1524464456703258,-0.0163842417869573,-0.0071250339770587,0.0087329019407937,0.0835021132519622,0.006464721186888,0.0353678621226811,0.2508531339904478,0.1180327406826515,0.3750987585770073,0.0705247479787651,0.0672339498041159,0.1292867957950467,0.1060721405342071,0.0461819324570509,0.2063619301193522,0.1490827450467275,0.0049961250662398,-0.0487090301368593,-0.0863807360249366
2001-12-31 00:00:00+00:00,-0.1646475726105418,0.2687958236161654,0.2054705088661716,0.1211949772810565,-0.2463176484507334,-0.129972509166595,-0.2520896601257913,0.0852652694745275,-0.0531712501873363,-0.0041038384223857,-0.120570883892245,-0.3201265122291116,-0.1389859540938677,-0.1148088743197728,-4.584108163896428e-05,-0.2253946550436865,-0.2008242461547633,-0.046949501232286,-0.0492889262286123,0.1627041033916016
2002-03-31 00:00:00+00:00,-0.1138850026336105,0.0019994148608952,-0.1460218349372614,0.0291402048909288,0.3661642911353202,0.2408975581184023,0.0898011730561092,0.0863207571575925,-0.006368532442038,0.10722826275564,0.3386696638460997,0.4325655885633945,0.050218724709419,0.1653724230368274,-0.0108812375725343,0.2177860097250767,0.0894172681229314,-0.0581233784882954,-0.0169137535801656,0.1148847840269315
2002-06-30 00:00:00+00:00,0.2374924307193329,-0.0299788310329994,-0.0028788048135315,0.0866407977175234,0.0627187261928357,-0.0272325195190896,-0.0203571658357255,0.0222473379305288,0.1222045146307004,0.1262293402740584,-0.0228349849755244,-0.163838937116756,0.1537582665941517,0.0577546996599136,0.0673653815476056,0.1292804042503936,0.0619556795026106,0.1083332964239753,0.1328235420463279,0.0945064781775437
2002-09-30 00:00:00+00:00,0.0511605677401443,0.0503583793976436,-0.1697170760577842,-0.0233849888913014,-0.2723364401772904,-0.1946337328473263,-0.1107862374298745,0.1691015919108935,0.0494310566886784,0.0306644065876657,-0.1568060203806003,-0.1529753908597456,-0.1376969521597543,-0.1960711154296439,0.0161978658007397,-0.1710511227387946,-0.1707765843724586,0.0140526862731551,0.013707661514837,-0.0292963290089365
2002-12-31 00:00:00+00:00,0.0481072832842692,-0.2444414496615938,-0.2619375551606221,-0.058608722941201,0.0173466844276786,-0.0361441469946104,-0.3636363636363636,0.0389050394293923,-0.0322886138687031,-0.0698310127661756,-0.0469263842958973,-0.1824770809063709,0.0770015052377905,-0.1002656059762644,-0.0477631224789039,-0.1829945423015575,-0.1994950609499789,-0.1330525774859778,-0.0048535686778485,-0.0691247191428643
2003-03-31 00:00:00+00:00,-0.0179310923286964,0.1566519135161839,-0.0692071029815502,-0.0249521394813123,0.0028754129237629,0.0209438761081504,0.3301839887893401,-0.1160783108713054,0.0025595360932,-0.0388343035433496,0.116455906148339,0.2798463438253884,-0.0096272743727877,0.031767592245131,0.0590477735614927,0.1084289819621795,0.1781465434345834,0.1107229592091332,0.000688915605006,0.1478223141474295
