Date,AMT,ARE,AVB,CCI,EQR,ESS,FRT,IRM,KIM,MAA,O,PLD,PSA,REG,SBAC,UDR,WELL,WY
2000-03-31 00:00:00+00:00,0.1061325279308931,0.0714804450022574,0.06202142321944,0.5077161480160284,0.0525224320610768,0.03224859716299,0.0631947005345261,0.2046417935373528,0.0349610371988857,0.011235593817831,-0.0349808912688006,0.0094689547361903,-0.0035860787437523,-0.0184618770302094,0.5737708353419702,-0.064706238015098,-0.0352939192519495,0.1609552840711772
2000-06-30 00:00:00+00:00,0.5394443615807947,-0.0182718151835976,0.0885243563269559,0.0972366113434426,-0.0195645224068412,0.1089940275497072,0.0403914452665612,-0.0560416727031333,0.1136966204566918,0.0312816250790346,-0.0172992910058792,0.0913355696647022,-0.0366104494320556,-0.0075288244275504,1.305555030263005,0.0263742656309908,-0.0530580991767609,-0.1578966556321208
2000-09-30 00:00:00+00:00,-0.0692515343896734,0.1548900572626625,0.169359208095938,0.0988808138170129,0.1736826043047865,0.1795837403792557,0.1151180006038563,0.0204081008765804,0.1363297037974757,0.1006417276074869,0.226798208252376,0.0995739213690947,0.1202544952266866,0.2013463795472465,0.2108432752575089,0.1691216249867253,0.2070787160483127,-0.2284961977152175
2000-12-31 00:00:00+00:00,-0.1041668634855074,-0.007245868299778,0.1227815613533873,-0.188455198144393,0.022887690841042,0.3189957908033149,-0.0617138152209623,0.030908648137411,-0.0112356359800702,0.0009276071889952,0.0023112994652219,0.0594374840713125,-0.0014996291597028,-0.0018659037905882,-0.2512437164841073,-0.0216444838547609,0.1080369391899702,-0.1463472612734547
2001-03-31 00:00:00+00:00,-0.0365445980202971,0.0937379772477857,0.0755705607054078,-0.1422593321810875,0.1660179004012796,-0.0049062101996428,0.0209514719503316,-0.0687831456635893,0.1062204624362721,-0.0247187635238267,0.072452205129722,0.0813516821062707,0.0503700511452318,0.0914879029993953,0.0448505735681672,0.0266811902375057,-0.0540102241304613,0.334808027812852
2001-06-30 00:00:00+00:00,-0.4921378070539519,0.0305638462427941,-0.0644276806618969,-0.4487806696373068,-0.0220277043186895,-0.1070325278973818,0.0611664907739593,0.1363636971572306,-0.0148432891621318,0.0256259330692365,0.103750864609893,-0.0259240441562553,0.1049494810777722,0.0625687202761995,-0.5834659271334564,0.1754590082228495,0.3739131718173494,-0.0054207731625658
2001-09-30 00:00:00+00:00,0.0994017554604134,0.0546036484668683,0.0546137823178214,0.1292035917121188,0.1085426315122679,0.0610323721620067,0.0769846550309987,0.1498667396608484,0.1122056285341204,0.1687836431135949,0.1083132257424333,0.0528794741759894,0.1407498399771423,0.044837664350255,0.3404585314955271,0.1665295000491333,0.1857486505491081,0.1422537359698974
2001-12-31 00:00:00+00:00,-0.3379443192164634,0.045372237973557,0.021730669479449,-0.4432601744758013,0.0382161418650672,-0.0048212282504359,0.0745195907724072,-0.0461501313234535,0.0499426387900538,0.0266494836498192,0.0223872343768281,-0.0169289192449288,0.1481769589582686,0.0227956325525844,-0.3990889023756202,0.0333281284306119,0.0455422422973044,-0.15097115956438
2002-03-31 00:00:00+00:00,-0.2544778927885585,0.031737717595577,-0.0034834477910025,0.2387387672837266,0.0023904322435748,0.0193650078405382,0.0702333439374325,0.0754919932765372,0.0506751770440074,0.0409910183556985,0.038934200998361,0.0762393875496136,0.0200161340432625,0.0921489905454169,0.0386656805169696,0.031327172316093,0.0003917061481593,0.1429855914100437
2002-06-30 00:00:00+00:00,-0.4684681777368898,0.0988017140404298,0.0739958906561442,-0.4263637984793191,0.0231993494162972,0.0767104366050246,0.1487748420377208,0.0668024831244613,-0.0067969914527682,0.008896209106233,0.1512340841490833,0.0571973543668091,0.1191382878454883,0.0969841813031973,-0.7627737254446783,0.1173481551023836,0.1633859410470419,0.1653735631740263
2002-09-30 00:00:00+00:00,-0.4199625583959656,0.0954669221580857,-0.0607072884074817,-0.4278921184939038,-0.0034960881991902,0.0592694459697151,0.0968546365786708,-0.0368723574274576,0.0333018652556695,0.0566120778755572,0.1175454589210343,0.1363806741034385,0.0002908239879411,0.0462160985641724,-0.5476923884962565,0.0051381003699471,0.0734822607037521,0.018103855992998
2002-12-31 00:00:00+00:00,-0.4740259328526077,-0.118123417016836,-0.0785335823915251,-0.4072020663208743,-0.1423373355907961,-0.0817128214275392,-0.0093628760725197,-0.1617161145389646,-0.057553193733723,-0.0376919274829433,-0.0424194124421511,-0.0493097016423186,-0.1230709181013341,0.0392337150667032,-0.374149513934561,0.0266232184910477,-0.0635145144101136,-0.2629388576138805
2003-03-31 00:00:00+00:00,1.3765429281643895,0.0171233307130518,-0.0396650605795197,0.7523357089772438,0.0627595343955316,0.0555831477400312,0.0641077837064332,0.3090550870537387,0.0349057705777506,0.0059070236991278,0.0469117136056747,-0.0338707690229,0.0349584364237507,0.0743589919717422,-0.5,0.0367899217827423,0.018700896127477,0.119908145296242
2003-06-30 00:00:00+00:00,0.4311695219403069,0.0139769337391921,-0.0265381436236264,0.546667039892557,0.0011251122276338,0.0635648959208972,0.1093687467712944,0.1590978008598873,0.1507259204732027,-0.0042383857083843,0.0585815815260053,0.058953836333873,-0.0324241071704458,0.0449407790928506,1.8260866382429424,0.0287993205719343,0.0125828723808898,-0.0508226945420391
