Date,ALK,AME,AOS,BA,CAT,CHRW,CMI,CPRT,CSX,DE,DOV,EFX,EMR,ETN,EXPD,FAST,FDX,GD,GWW,HON,IEX,ITW,JBHT,LHX,LMT,MMM,NOC,NSC,ODFL,PCAR,PH,PNR,RHI,ROK,ROL,ROP,RSG,RTX,SNA,SWK,TDY,TT,UNP,UPS,URI,WAB,WM
2000-03-31 00:00:00+00:00,-0.0556492443314126,-0.038123614786555,0.0087207225046153,-0.0316259518417083,0.0359521985506117,0.10462870280986,0.1958928262045545,0.4054054054054055,-0.1361257572339735,0.0201521767742005,-0.0209200338876744,-0.0843993489199453,0.0068322274514833,-0.0685151984510634,-0.0043227564016035,0.0881410136414291,0.0288284435345929,-0.0332512243408875,-0.0316208963409737,-0.0668731543581722,0.0952382936637092,-0.028640580323664,0.0386476460818339,0.2063956167073284,0.0030957878634987,-0.0006628161760624,-0.0451465367130738,-0.0612245648671516,-0.1176474594592219,0.085538223127358,0.0303434903370749,-0.0285231168895527,0.0347221184598673,-0.0125007100655861,-0.0279998648469804,-0.0339554296483671,0.1243777037985731,0.0764256630863438,-0.1152263495982753,-0.0744466624530011,-0.0259740259740259,0.1187333130713756,-0.0736813724057056,0.0180262577860408,-0.1129567968689805,-0.0484435032674686,0.077519568864961
2000-06-30 00:00:00+00:00,-0.1714287030181888,0.0400837837568746,-0.1478539960224525,-0.0714801253453445,-0.1333952003549723,-0.1039873863653361,-0.2058005132475606,-0.0641021728515625,-0.2464900704534375,-0.0878522848816789,0.0959087011379322,0.1670016051975316,-0.0723243546171493,0.096176565938798,-0.1461649704770984,0.0668155210434811,-0.0873362643236864,0.0414877287224939,0.2095220475350503,-0.0368831381969053,-0.1013792889993844,-0.070450176947778,0.0833602632820365,0.2355451662259455,0.0155754927147087,-0.0201832877060196,0.0004851704788222,-0.2770821724415878,0.0611102991030867,0.1545248249242192,-0.1398560688862167,0.0970324499846462,0.6890373027842642,-0.1558740169485154,-0.0422158350806538,-0.0807011527955271,-0.1548671410109154,-0.0062093722394791,-0.0279903924634629,-0.0671886785215032,0.6866666666666668,-0.1615479216859394,-0.0949822629037938,-0.1118835960181751,-0.0187265685855131,-0.3449352776181612,-0.1834532367143404
2000-09-30 00:00:00+00:00,-0.0668101400712442,0.0189393876493881,0.1706108499714369,0.1251200205764266,-0.1333000465796915,0.3577785835430591,-0.2328788797218212,-0.1506857046108697,-0.016670793195421,-0.004046442466307,-0.1192158848163951,0.0375720108567538,0.1548209257762158,-0.0972008160978591,0.3039875939296799,0.1728909588824614,0.015948849093978,0.035897514832015,-0.4187760137887072,-0.365691632090723,0.2029681110120296,-0.0084667988471029,-0.0129309521442114,0.0486566712599894,0.1950653080997701,-0.0791036423702473,0.2580305836917727,0.0996132767565067,-0.1623035844499601,-0.1559721929465981,-0.1432861324604536,-0.0752583283483558,0.2768217894813183,-0.2282846077984507,0.012203163627479,-0.2012618877757475,0.3507860454240612,-0.0810613347898876,0.1084771632156191,-0.0724062763050106,0.1818181818181818,-0.0515697432870616,-0.0081736359908852,0.0039148122036034,0.1374046210224528,-0.0992533505930203,0.3259910741239959
2000-12-31 00:00:00+00:00,-0.1362588956323396,0.0403787873776781,-0.4105428623418712,0.405852620033243,-0.0394678438612702,0.1306713981351879,0.1063658470436479,-0.0927407505851256,-0.0650959194367866,-0.1548809749006879,0.1111287431877061,-0.0032686505860867,0.1107326408605144,-0.1017844297929267,-0.079427198723713,0.0672163135620165,0.0913656401911335,0.2025346907461807,-0.1653149758610753,0.0528681840971914,-0.1278697512739548,-0.0541650715623427,-0.1441047836299851,-0.1478421919504678,0.325599900925648,0.0973140060087522,0.3884519148313916,-0.1267158980269835,-0.0124978623174145,-0.0816608811874278,-0.0764283820736825,-0.250426578203114,0.1804979515621261,-0.0506308072171256,0.0077033122656611,0.2459317389474808,-0.1744186378209621,0.2077574788754315,-0.1827601971756116,-0.0764770028570552,0.354515050167224,-0.1939823360063816,0.0068473769501702,-0.0433500491386596,0.2718118116568437,-0.0979360885413641,-0.042655809275763
2001-03-31 00:00:00+00:00,0.2647060451488592,0.1928968173525238,0.3630648684069695,0.0632455151192192,0.3674340138458081,0.1173698746834972,0.226377598717703,0.3644430627904762,0.2601366178928619,0.3934928125949819,-0.1703199294961487,0.0520266722965714,0.1418249884276179,0.4923400013037635,0.1244853696068979,-0.0795580334698791,-0.1208280963145315,0.2012076531254918,0.3615542269473284,0.2336588173771125,0.1281863210772889,0.0751353605763112,0.2653055643675777,0.0060014658578186,0.06577284229481,0.3079490773549478,-0.0770619888883479,0.0284512046423914,0.0253141280073447,0.3504792965782686,0.3471409256345885,-0.1557704963701371,-0.326889098491425,0.5482073383855284,0.3099970494532806,0.0371537457590047,0.2441312737928735,0.1062617562746244,0.1987956802195907,0.3872581562844863,-0.2197530864197531,0.2160341111761827,0.3270552490422913,-0.0027015458110541,-0.4432716484533462,0.2341184750410749,0.5000006064291
2001-06-30 00:00:00+00:00,-0.1458774711148869,0.0948835905859031,0.1325820289777843,-0.1099135887258803,-0.0331269847498761,-0.1136014862580929,-0.0062493691434039,0.0413031147618225,0.3311121698115897,-0.1918627787817467,-0.0740382941387393,0.1099912695024327,-0.1883582356386064,0.0119310282853255,0.0113345391464472,0.056850126560664,0.0712033439506372,-0.1370474775149512,-0.0795662831143255,-0.081575664345502,-0.1069090591293976,-0.037734458217569,-0.0322579462688054,-0.2032762174088543,0.0573569863277327,-0.1392498770524217,0.0410687774639826,0.2299054441775112,-0.0123455748364189,-0.1108615091187087,-0.0829451380766593,0.1244561626935558,-0.0813578064654705,-0.1740154031647436,0.0336878927788584,0.0646910981424717,0.1018859772982043,-0.0217405870842748,0.065122244129149,0.0672164950306812,-0.3286075833477552,-0.0219427602380799,0.1348577836378861,-0.0109108140849646,0.1965875409278068,0.1252789480687728,-0.1111116363372418
2001-09-30 00:00:00+00:00,0.1405942124368893,0.1242456293381912,-0.0377369928755105,0.0270567942671966,0.177480100214852,0.0703903214843892,0.0860609815263653,0.4389393537581929,0.0513323188736349,0.0580684133624427,0.0884208602247202,0.1974359517522923,0.0045573747879354,0.0766818777846847,0.2081812273819765,0.1471215702426165,-0.0107520273583022,0.1887004686702658,0.2646114208019658,-0.1573614505220619,0.1874715308808756,0.1528901191636473,0.267333660667177,0.2107170694794715,0.0112520668858473,0.1549106940453342,-0.0711664361896966,0.2112538819352478,0.0730002670965235,0.1996464675518923,0.0675403877995854,0.3539698574854224,0.1073212966024139,0.0195696100536404,0.020365608932348,0.1634905022285142,0.0849321866052201,-0.0288554053431726,-0.1502092248400125,0.2922458509281826,0.1161387583160615,0.0771693314070038,-0.0359128560320352,0.0488860276017746,0.61470209985816,0.1471281407912552,0.2650002365073931
2001-12-31 00:00:00+00:00,-0.3125001104696344,-0.1338526140213316,-0.1690348802768231,-0.4233704052271638,-0.1480113199285083,-0.0228610567934848,-0.1942069311203798,-0.0243480451904176,-0.1529407189547174,-0.0151224675462939,-0.253699512260971,-0.0041513650751301,-0.2400795187397492,-0.175343968459706,-0.2566898877569631,-0.1152014855881612,-0.1195655121166826,0.1416222319641282,-0.0656745761160189,-0.2268131788097009,-0.1792714410822211,-0.170906831279072,-0.3114151645315048,0.1561375845981114,0.2063614166542744,-0.1693472291026012,0.2776048747853485,-0.2377267830124663,0.1621629136043809,-0.0689106282213571,-0.1999930117894468,-0.1261964867468036,-0.1786448496149966,-0.0791420620228172,-0.2514566786077663,-0.1381105714561522,-0.1878791539498192,-0.3331753589335724,-0.1023576419208178,-0.154224839965807,0.0675675666967912,-0.2249743438676792,-0.1705160234213092,-0.1255569348249208,-0.3288853872903032,-0.2097436513455836,-0.1271324492043259
2002-03-31 00:00:00+00:00,0.4631312021679796,0.2233806117386305,0.2912089108941702,0.1819038678990878,0.1832241142737283,0.0465571905934683,0.2240332625127676,0.2613192976959024,0.1937882048700814,0.1763336531854411,0.2927639356789173,0.1160460173506952,0.2350878437949064,0.2631678127536974,0.2685620244941757,0.1818509895581435,0.428170789208032,-0.0759933725965615,0.2401442305427517,0.2875343579894744,0.268644018003507,0.2643245352107048,0.7211613038693039,-0.0448069576010305,0.0628704941257758,0.2156226091225823,-0.0248061507322464,0.2116442311990942,0.0745788202417876,0.35093109317693,0.3656807091787319,0.2273671866603965,0.3249998069805166,0.3540180048306682,0.3206920154034125,0.4089924103235278,0.243160159852444,0.3670939160939215,0.5571086741177138,0.3127887351836145,0.0436708589907433,0.2888078028148413,0.2497805528031049,0.0792028083920051,0.3461990465473257,0.0742393914987651,0.1766708324506312
2002-06-30 00:00:00+00:00,0.125302347491192,0.2022811483274671,0.3841615790001809,0.2629923904420379,0.1101237107165542,0.1652399703899632,0.2143526255984023,-0.2440646118790326,0.058363025674454,0.051109759925807,0.1095542519038486,0.191754772527706,0.0140322773131034,0.0902366861190886,0.0637175484909748,0.1365194674718715,0.1280944598955704,0.2039635132691721,0.1625170599229464,0.1594050732548297,0.1207601434242786,0.0654059615148501,0.2445626292723175,0.1810093476947312,0.2803735233873003,-0.0106677306553519,0.1831051281621247,0.2623263388119277,0.0664177622433173,0.1430484253533275,0.0731952804970472,0.2211750886245882,0.0943399316718147,0.1296795435443032,0.0606636236151227,-0.0483110749878145,-0.0445223961749848,0.1589539511614714,0.0042519915156067,-0.0096796855883277,-0.0115221671737314,0.1674061233228874,0.0771805866105483,0.1155570472891174,0.1768027458160876,0.2051576832120132,-0.1241580018649255
