Date,ATO,DTE,DUK,ED,EIX,ES,EVRG,LNT,NEE,PEG,PNW,PPL,SO,SRE,WEC,XEL
2000-03-31 00:00:00+00:00,-0.0983146832380675,-0.0636197604689113,-0.0349998079171453,-0.0217393774671263,-0.0398640423213942,-0.0178041211144138,-0.0856156542189482,-0.0115208938151341,-0.0638299614694917,0.0028751390788388,-0.1069420362471941,-0.0164384881493329,-0.0293334041580348,-0.0278214282323226,-0.0378553376114729,-0.0501912898790625
2000-06-30 00:00:00+00:00,-0.1790190275370571,-0.0087088307860883,0.1307826008286379,-0.1259122500199131,-0.3151042829405153,0.0204239868204147,-0.0597118264162382,0.1256414481982277,0.1131912210961567,-0.1108201869423725,-0.0419178671712652,-0.0489213077661734,0.0079108024166441,-0.0260409407914575,0.0766669261978763,0.03947372268903
2000-09-30 00:00:00+00:00,0.2102522820141523,0.0841828699201756,0.0783389997776125,0.062005466997427,0.2311815580108178,0.0493860795914944,0.1040337771395629,-0.0883029421571732,0.1117858906656104,0.2161367084998704,0.2587076167061497,0.1026239993582531,0.0654656636779988,0.0743088506528408,0.0345145603675467,0.056399717302104
2000-12-31 00:00:00+00:00,0.0788321025565446,0.2409729960219278,0.5189885471922708,0.1631384997112039,-0.0243901006629559,-0.0384859165386903,0.3314482508641128,0.1291351947339731,0.3838647866673625,0.2983870778223751,0.4901350412725809,0.9430862163882996,0.3639466093589694,0.1921022547511108,-0.0309868621145265,0.3952728307768376
2001-03-31 00:00:00+00:00,0.2433006260266286,0.0122706040037421,-0.0419406137835621,0.0997670220250819,-0.2393511140505932,0.1273930745548532,0.2060530368118238,0.0688883149015893,0.037659649018618,0.039110439878915,-0.0980421866359045,-0.0037420708155982,0.0171827045535211,0.0962211721958239,0.1438735412152048,0.0345425636127887
2001-06-30 00:00:00+00:00,-0.0576950996349888,0.0756198001975401,0.0526662782314066,0.0162024390265429,-0.1633331401680486,-0.2538399986283667,-0.0703902205184607,0.0454967991817021,-0.1210581210661335,-0.0454357835548945,0.0160813581366372,0.0570835243817251,0.1069722438279607,0.0468801485392034,-0.0068830304946256,0.088841023896554
2001-09-30 00:00:00+00:00,0.0189276279613104,0.158863847005503,-0.0893460257319209,0.079237327361215,-0.0725102194513179,0.1908325500214147,-0.0751378346605613,-0.064412738864949,-0.0103678819135599,0.1400389035046441,0.0355346451878593,0.2215790520772091,0.0971609243688458,0.1959126188193769,0.1156193232974207,-0.0502789762128512
2001-12-31 00:00:00+00:00,-0.0831131114630314,-0.0608524721687842,-0.0178807304587763,0.0379219664029726,0.1554984619600554,-0.1105695656489762,-0.2317153994806018,0.087528152659025,-0.0957632888728168,-0.1266284250218045,-0.165227244166395,-0.4102856402872912,0.0792342432785304,-0.0888055382273258,-0.0469068008312505,-0.0041923217626068
2002-03-31 00:00:00+00:00,0.0182173277936499,-0.0064943911587301,0.0498496046533989,0.009283222244945,0.1486988498318646,-0.0105967358220194,0.1245528370901096,-0.0075598990318378,0.071343238271982,0.0179714344359527,0.0781224835126024,0.0813659726382105,0.0428431680885232,0.0047988870865944,0.0216198274557699,0.0207183211303942
2002-06-30 00:00:00+00:00,0.1219487063267232,0.0839343275209403,-0.0502185048087769,0.036689042557128,0.0893201420645837,0.1075030830662999,-0.0077500283708403,-0.007387597258972,0.047483676813264,0.0660507425458998,0.0804622346958765,0.1463509309979682,0.0536283120564387,0.0259622427157473,0.1020031502282614,-0.1052824525178066
2002-09-30 00:00:00+00:00,-0.0341024524351577,-0.0195753370323172,-0.1843323886034171,0.0013252499263269,-0.0095061643142907,-0.0624790596345887,-0.0716614111923066,-0.1328017940705874,0.0106164816353107,-0.048898254543214,-0.1294718105653064,-0.1765636119237763,0.0330441009393052,-0.1109560206723674,0.02647524526504,-0.3595202111120432
2002-12-31 00:00:00+00:00,-0.0270645418689587,-0.0361874425952132,-0.3350278621081034,0.0221305670088596,-0.387522554650881,-0.0730302941898761,-0.2992651190261726,-0.198298576283366,-0.0506282147291504,-0.2575123809642694,-0.2643145850303927,0.0329099828503465,0.0917544720427863,-0.069621694816284,-0.0185837402888382,-0.3700156899318245
2003-03-31 00:00:00+00:00,0.0976156589953303,0.1351966123961032,0.0113215880776038,0.053166955793388,0.2448580335218306,-0.0786795088848542,-0.0479444493905899,-0.1189947658062314,0.1158974566223898,0.0793200061538823,0.2510776959948928,0.0833543863952586,0.0044237664451369,0.2107172808254913,0.0435005054660797,0.202039259667174
2003-06-30 00:00:00+00:00,-0.0684990511869888,-0.1584135517383536,-0.2963657101333681,-0.0873120670776673,0.070810162407876,-0.0775041013648613,0.2739213378750644,-0.019756157551409,-0.0271657868269501,0.1472843171832609,-0.0297169665451386,0.0272751298795097,-0.0030467216665699,0.0401286679946621,-0.0043885624117945,0.1242293987651503
2003-09-30 00:00:00+00:00,0.1589140424033768,-0.0071603553699863,0.4472413952567862,0.1317001108305056,0.2204260010026151,0.1900042500887047,0.3291511094946853,0.2015090600751248,0.1420241730398703,0.1568414362662133,0.1275744497335076,0.2065385335173815,0.0820737346001774,0.1458221846283094,0.1679049232929212,0.1905156120714815
2003-12-31 00:00:00+00:00,-0.0037007645414158,-0.0125580131285912,-0.0722161364691447,-0.0360275600600775,0.1818182656508618,0.0946263815868075,0.1456828812055346,0.1603626574181227,-0.0385623471018985,0.0025027709358047,-0.0271018037177166,-0.0272404863844635,-0.0184923272579369,0.0640637308813214,0.070249313014991,0.0457432848459216
