,clayton_random+t_dist_AE,clayton_random+t_dist_APE,clayton_random+gauss_dist_AE,clayton_random+gauss_dist_APE,gaussian+t_dist_AE,gaussian+t_dist_APE,gaussian+gauss_dist_AE,gaussian+gauss_dist_APE,t_student+t_dist_AE,t_student+t_dist_APE,t_student+gauss_dist_AE,t_student+gauss_dist_APE
0,0.07800661679538944,114.40105359339263,0.08090294403791155,118.64867900912992,0.03055082098741263,44.80448265396007,0.03398317422037665,49.83822007633448,0.0622034863428529,91.22488151832242,0.06455487445073606,94.67332330441339
1,0.08820213484950204,129.3381260574371,0.0906176320497202,132.8801704978157,0.0242431556453023,35.5497554138836,0.027098839336673078,39.73728191633046,0.048816443053568734,71.58361048869577,0.05185316688988703,76.03661121269782
2,0.08171399198363154,123.40835234059946,0.08491576231691984,128.24381799112442,0.03451991424974332,52.13361429402386,0.037754929911201066,57.0192886183979,0.060676499365487316,91.63653164797245,0.062472281252277925,94.34860675814838
3,0.09153792419991241,138.21362510514996,0.09340453415968816,141.0320299515888,0.03641979230099798,54.99044864185787,0.04001836661021074,60.4239561725763,0.054365864905372874,82.0873243109398,0.05752874129022237,86.86296910221571
4,0.08371891558999306,126.21539867262115,0.08568298668875407,129.17645012681754,0.033111207969920314,49.91875832365771,0.03624462099294494,54.64272029951385,0.04660039684565086,70.25518217389835,0.049951517450737365,75.30736208079605
5,0.09727475668735058,146.55727093110642,0.1000789125874611,150.78210222322105,0.027053877515879066,40.76024029106875,0.03130494440075916,47.165034118475404,0.043840409428028235,66.051368115215,0.04741724785227422,71.440347701192
6,0.08671172936469244,115.70087636070376,0.0884221914619213,117.98317386625585,0.03214999766143882,42.89826683975329,0.03632483798199965,48.46882444820957,0.04697474464581847,62.6791688063659,0.048500777967576264,64.71537998536824
7,0.08360139826290645,111.42575712851628,0.08653051475991437,115.32974713560145,0.02795823971164048,37.263348371917374,0.03260101870130096,43.45134492284134,0.039801032465899486,53.047679454629815,0.041900101072146645,55.84536362709138
8,0.08735009716808698,116.50229601531362,0.08984221416103325,119.82613148922643,0.030843726694560605,41.13750406791708,0.034799154161055584,46.41301487452735,0.05207717474469073,69.45739758105007,0.054790463560961594,73.07621870542675
9,0.0877798063336741,116.93138457751566,0.0906219843845042,120.7174468688367,0.028011996756645258,37.314750423171844,0.03067274867342426,40.85913515858101,0.04412279680487727,58.775929650775005,0.04565313495738403,60.81449143985207
10,0.09338321283328019,124.41309553590996,0.09462488054682203,126.0673513617888,0.028602153355582097,38.106232694240745,0.03103988393365839,41.35398566931218,0.04550061023090776,60.619800881199616,0.04922294681288421,65.57901574155196
11,0.09795917889264455,134.55128420030204,0.10040585850273223,137.91190734236383,0.03755703479376858,51.58625581983547,0.041832536111590005,57.45884682576264,0.049920289923546746,68.56773599772342,0.053577161747923124,73.59061191081142
12,0.1203737857007977,298.6031587728526,0.12242129415245463,303.68227535724384,0.06152257516729974,152.614916726626,0.06544557325629377,162.3464343856716,0.08783746777077474,217.89250194519855,0.08934185527717543,221.6243349087828
13,0.12044691272951417,298.69484768674243,0.12301476393857776,305.06283096163065,0.06486974199381432,160.86969159461663,0.0686914572358282,170.34711717777748,0.08800611908931537,218.2453143976935,0.0905130055500372,224.46211192769593
14,0.12346217730350612,311.78923874494757,0.1252844962309597,316.3912913212966,0.06324033332219109,159.70603965642806,0.06770314290433246,170.97634148221647,0.0769681495276544,194.37402832967183,0.08030724674911371,202.80652647211795
15,0.11565845807594319,291.8832935283831,0.11748373046560454,296.48967100862717,0.05969616230635479,150.65316237868808,0.06425534440284753,162.15901424856295,0.08224462849137615,207.55795502062244,0.084762656106566,213.91261516172895
16,0.10826672683116459,198.62739108879484,0.1100453711466928,201.8905125519496,0.050226264902449094,92.14568735661162,0.05620905676550092,103.12178660673865,0.07712716475758516,141.49838982169214,0.07900173099998078,144.93749076293338
17,0.11542243688498868,211.77271129468681,0.11750598157626302,215.59552010277395,0.05935929423741486,108.91018263392174,0.06416419151774103,117.72602600032944,0.07212893589552816,132.33943702485843,0.07462979371200462,136.92791613386788
18,0.1100663541313977,201.94016237277185,0.11318595550496963,207.66373532918482,0.058863794585223374,107.99816465462995,0.06346620590345417,116.44226817967515,0.0766857856660271,140.6964020139516,0.07899480878611925,144.9327965731576
